path,function_category,function_description,triggers,dependencies,status,critical_issues,notes
/mnt/d/0local/gitrepos/hustle/.github/workflows/deploy.yml,A. Deployment Orchestration,GitHub Actions deploy workflow,git push to main OR PR merge,GH secrets (B2 creds),YELLOW,missing; assumed workflow only (not examined),Standard GitHub Actions format. Likely mirrors GitLab pipeline.
/mnt/d/0local/gitrepos/hustle/.github/workflows/deploy-zima.yml,A. Deployment Orchestration,Zima (ZimaBoard) deployment workflow,manual OR scheduled,GH secrets,YELLOW,missing; assumed workflow only (not examined),Specialized workflow for ZimaBoard deployment. Not fully examined.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/1_daily_1a_b2_sync_forensics_to_bucket.py,C. Backup/Restore,Forensics WORM sync to B2 with signature verification,daily cron OR manual,python3; B2 auth creds; 9x_forensic_signer.py,YELLOW,signature verification can be skipped (--skip-sig-check); missing rollback,Syncs forensics/ tree to WORM bucket; uploads manifests; syncs agent-runs-index. Requires manifest signature verification (can be bypassed).
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/4x_bucket_compliance_audit.py,D. Monitoring/Alerting,Bucket legal-hold + compliance audit,on-demand manual OR scheduled,python3; B2 auth creds,YELLOW,audit results not automated to alerting,Checks bucket legal-hold policy; retention enforcement; WORM compliance.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/5b_vault_backup.py,C. Backup/Restore,Vault (Obsidian) backup to B2,manual OR cron,python3; B2 auth creds; rclone,YELLOW,missing schedule automation,Backups Obsidian vault to B2 with hash tracking.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/5c_install_backup_cron.py,C. Backup/Restore,Backup cron installation/scheduling,on-demand manual,python3; systemd OR launchd,YELLOW,platform-specific (macOS vs Linux); no error reporting,Installs backup jobs as cron/systemd timers. Missing: verify cron installation; error notifications.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/5x_backup_forensics.py,C. Backup/Restore,Forensics local backup utility,manual OR cron,python3; tar; gzip,YELLOW,no remote replication; no alerts,Backs up forensics/ to local compressed tarball. Missing: S3/B2 sync; alerting.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/7x_surfacing_scheduler.py,A. Deployment Orchestration,Agent work surfacing scheduler,daily cron OR on-demand,python3,YELLOW,missing integration with mission-graph,Schedules surfacing of pending agent work. Missing: compass-aware routing.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/9x_efficiency_metrics.py,D. Monitoring/Alerting,Efficiency metrics reporter,on-demand manual OR scheduled,python3; HONEY/NECTAR,YELLOW,no dashboard integration,Reports mission FFMx metrics. Missing: alerting on low efficiency; dashboard visualization.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/9x_f0_efficiency_tracker.py,D. Monitoring/Alerting,f(0) equilibrium efficiency tracker,on-demand manual OR scheduled,python3; forensics/,YELLOW,no automated threshold alerts,Tracks f(0) equilibrium metrics. Missing: automatic alert on threshold breach.
/mnt/d/0local/gitrepos/faerie2/.claude/scripts/9x_citation_verifier.py,E. Validation/Testing,Cross-citation integrity verifier,manual OR post-build,python3; forensics/ manifests,GREEN,none,Verifies manifest cross-citations are valid. Pre-checks for data integrity.
/mnt/d/0LOCAL/.claude/scripts/deploy_free_eval.sh,A. Deployment Orchestration,Free model eval pipeline deployment,post-repo-clone manual OR CI/CD,bash; python3,GREEN,none,Deploys free model eval scripts to ~/.claude/. Symlinks where possible; copies fixtures.
/mnt/d/0LOCAL/.claude/scripts/0_genesis_0a_b2_create_faerie_eval_bucket.py,B. Provisioning,Faerie eval bucket creation (genesis),one-time setup manual,python3; B2 auth creds,GREEN,none,Creates initial faerie-eval B2 bucket for forensics/. Single-use bootstrap script.
